,precision,recall,f1-score,support
accidental,0.0,0.0,0.0,5.0
hacking,0.6310679611650486,0.9219858156028369,0.7492795389048992,141.0
inside_job,0.0,0.0,0.0,4.0
lost/stolen,0.0,0.0,0.0,31.0
misconfiguration,0.47368421052631576,0.5,0.4864864864864865,18.0
other,0.0,0.0,0.0,18.0
poor_security,0.0,0.0,0.0,6.0
third-party,0.0,0.0,0.0,2.0
unprotected,0.0,0.0,0.0,2.0
accuracy,0.6123348017621145,0.6123348017621145,0.6123348017621145,0.6123348017621145
macro avg,0.1227502412990405,0.15799842395587077,0.13730733615459842,227.0
weighted avg,0.4295458075495398,0.6123348017621145,0.5039875407151875,227.0
